employee_number;environment_satisfaction;job_involvement;job_satisfaction;relationship_satisfaction;work_life_balance
704;2;4;3;3;3
691;2;4;3;3;2
649;2;4;3;3;4
639;2;4;3;3;2
638;2;4;3;3;3
621;2;4;3;3;4
580;2;4;3;3;3
579;2;4;3;3;3
577;2;4;3;3;3
569;2;4;3;3;2
564;2;4;3;3;3
548;2;4;3;3;3
543;2;4;3;3;3
527;2;4;3;3;2
521;2;4;3;3;2
513;2;4;3;3;2
499;2;4;3;3;3
491;2;4;3;3;4
483;2;4;3;3;3
461;2;4;3;3;2
456;2;4;3;3;3
455;2;4;3;3;3
444;2;4;3;3;1
442;2;4;3;3;1
431;2;4;3;3;4
422;2;4;3;3;4
411;2;4;3;3;1
407;2;4;3;3;4
367;2;4;3;3;2
361;2;4;3;3;4
336;2;4;3;3;3
309;2;4;3;3;1
308;2;4;3;3;4
302;2;4;3;3;4
292;2;4;3;3;3
259;2;4;3;3;1
211;2;4;3;3;3
198;2;4;3;3;4
171;2;4;3;3;4
148;2;4;3;3;3
143;2;4;3;3;3
140;2;4;3;3;4
117;2;4;3;3;1
107;2;4;3;3;4
105;2;4;3;3;1
97;2;4;3;3;2
63;2;4;3;3;4
41;2;4;3;3;1
15;2;4;3;3;4
12;2;4;3;3;2
2064;2;4;2;3;2
2062;2;4;1;3;1
2053;2;4;2;3;1
2037;2;4;2;3;3
2013;2;4;2;3;2
2010;2;4;2;3;3
1973;2;4;2;3;1
1956;2;4;1;3;2
1937;2;4;2;3;3
1935;2;4;1;3;3
1903;2;4;1;3;4
1886;2;4;2;3;4
1867;2;4;2;3;4
1865;2;4;2;3;4
1827;2;4;2;3;3
1801;2;4;2;3;3
1798;2;4;1;3;2
1787;2;4;2;3;1
1770;2;4;1;3;2
1762;2;4;1;3;3
1754;2;4;1;3;1
1745;2;4;1;3;4
1722;2;4;2;3;2
1719;2;4;2;3;3
1698;2;4;2;3;4
1676;2;4;2;3;3
1675;2;4;2;3;2
1664;2;4;1;3;1
1656;2;4;1;3;3
1621;2;4;1;3;4
1619;2;4;1;3;1
1611;2;4;1;3;1
1599;2;4;2;3;3
1564;2;4;1;3;2
1555;2;4;2;3;1
1551;2;4;1;3;2
1545;2;4;2;3;4
1544;2;4;1;3;3
1542;2;4;2;3;2
1509;2;4;1;3;1
1478;2;4;1;3;4
1468;2;4;2;3;3
1461;2;4;2;3;4
1460;2;4;1;3;2
1417;2;4;1;3;4
1387;2;4;1;3;3
1329;2;4;2;3;1
1307;2;4;2;3;4
1292;2;4;2;3;4
1280;2;4;2;3;3
1278;2;4;2;3;4
1252;2;4;1;3;2
1237;2;4;1;3;3
1234;2;4;2;3;3
1216;2;4;1;3;3
1184;2;4;1;3;3
1138;2;4;2;3;2
1080;2;4;1;3;1
1050;2;4;2;3;1
998;2;4;2;3;1
956;2;4;1;3;2
951;2;4;2;3;3
940;2;4;2;3;4
939;2;4;1;3;2
899;2;4;2;3;1
893;2;4;2;3;4
812;2;4;2;3;3
807;2;4;2;3;4
804;2;4;1;3;3
729;2;4;1;3;3
712;2;4;2;3;4
707;2;4;2;3;3
